model_name,collection_name,category_name,child_name,property_name,date_string,value,unit_name,interval_id,period_value,Country
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,RS00Z2MK,Installed Capacity,2050,1080.53526583,MW,1.0,1.0,RS
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,SE01Z2MK,Installed Capacity,2050,26.77919464,MW,1.0,1.0,SE
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,SE02Z2MK,Installed Capacity,2050,1632.85045083,MW,1.0,1.0,SE
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,SK00Z2MK,Installed Capacity,2050,1224.34264152,MW,1.0,1.0,SK
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,UA01Z2MK,Installed Capacity,2050,1860.06595148,MW,1.0,1.0,UA
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,UK02Z2MK,Installed Capacity,2050,11328.64048983,MW,1.0,1.0,UK
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,UK03Z2MK,Installed Capacity,2050,6944.96292336,MW,1.0,1.0,UK
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,UK05Z2MK,Installed Capacity,2050,5686.39414383,MW,1.0,1.0,UK
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,UKNIZ2MK,Installed Capacity,2050,993.33535784,MW,1.0,1.0,UK
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,BE01Z2DR,Installed Capacity,2050,549.26640566,MW,1.0,1.0,BE
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,BE02Z2DR,Installed Capacity,2050,490.76226349,MW,1.0,1.0,BE
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,BE03Z2DR,Installed Capacity,2050,441.70330849,MW,1.0,1.0,BE
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,BG01Z2DR,Installed Capacity,2050,297.65498864,MW,1.0,1.0,BG
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,BG02Z2DR,Installed Capacity,2050,277.12973219,MW,1.0,1.0,BG
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,CY00Z2DR,Installed Capacity,2050,50.42030788,MW,1.0,1.0,CY
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,CZ01Z2DR,Installed Capacity,2050,568.335417,MW,1.0,1.0,CZ
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,CZ02Z2DR,Installed Capacity,2050,480.21106964,MW,1.0,1.0,CZ
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,DKE1Z2DR,Installed Capacity,2050,183.12276164,MW,1.0,1.0,DK
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,EE00Z2DR,Installed Capacity,2050,368.19535976,MW,1.0,1.0,EE
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,ES01Z2DR,Installed Capacity,2050,119.53587893,MW,1.0,1.0,ES
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,ES02Z2DR,Installed Capacity,2050,379.00329669,MW,1.0,1.0,ES
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,ES03Z2DR,Installed Capacity,2050,448.39924598,MW,1.0,1.0,ES
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,ES04Z2DR,Installed Capacity,2050,802.10923963,MW,1.0,1.0,ES
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,ES05Z2DR,Installed Capacity,2050,664.39456862,MW,1.0,1.0,ES
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,ES06Z2DR,Installed Capacity,2050,480.66786576,MW,1.0,1.0,ES
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,ES07Z2DR,Installed Capacity,2050,77.61221377,MW,1.0,1.0,ES
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,ES08Z2DR,Installed Capacity,2050,177.43158373,MW,1.0,1.0,ES
TJ Dispatch_Future_Nuclear+,Electrolyser,Zone 2 Dedicated RES,ES11Z2DR,Installed Capacity,2050,459.13031639,MW,1.0,1.0,ES
